"","age","job","marital","education","default","housing","loan","contact","month","day_of_week","poutcome","duration","campaign","pdays","previous","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y","prediction"
"2499",49,"services","married","high.school","no","yes","no","telephone","may","tue","nonexistent",161,1,999,0,1.1,93.994,-36.4,4.856,5191,0,-4.48126113260822
"2500",50,"housemaid","single","unknown","no","yes","no","telephone","may","tue","nonexistent",473,1,999,0,1.1,93.994,-36.4,4.856,5191,0,-2.97016565129974
"2506",53,"technician","married","professional.course","no","no","no","telephone","may","tue","nonexistent",332,1,999,0,1.1,93.994,-36.4,4.856,5191,0,-3.55873182803521
"2525",49,"blue-collar","married","basic.4y","unknown","yes","no","telephone","may","tue","nonexistent",67,2,999,0,1.1,93.994,-36.4,4.856,5191,0,-5.51892790906494
"2526",45,"blue-collar","married","basic.4y","no","unknown","unknown","telephone","may","tue","nonexistent",93,1,999,0,1.1,93.994,-36.4,4.856,5191,0,-5.07721794683062
"2527",50,"technician","married","basic.6y","no","yes","no","telephone","may","tue","nonexistent",119,2,999,0,1.1,93.994,-36.4,4.856,5191,0,-4.60210792050894
"2529",27,"blue-collar","married","basic.9y","no","yes","no","telephone","may","tue","nonexistent",297,3,999,0,1.1,93.994,-36.4,4.856,5191,0,-4.17282637405672
"2532",41,"technician","married","basic.9y","no","yes","no","telephone","may","tue","nonexistent",420,1,999,0,1.1,93.994,-36.4,4.856,5191,0,-3.27476296664745
"2539",51,"retired","married","basic.4y","unknown","yes","yes","telephone","may","tue","nonexistent",394,1,999,0,1.1,93.994,-36.4,4.856,5191,0,-3.56615698868357
"2540",43,"admin.","married","high.school","no","yes","no","telephone","may","tue","nonexistent",91,2,999,0,1.1,93.994,-36.4,4.856,5191,0,-4.79394064569033
"2547",45,"admin.","married","basic.9y","unknown","yes","no","telephone","may","tue","nonexistent",109,1,999,0,1.1,93.994,-36.4,4.856,5191,0,-5.138969469845
"2551",36,"housemaid","married","high.school","no","no","no","telephone","may","tue","nonexistent",141,4,999,0,1.1,93.994,-36.4,4.856,5191,0,-4.82277161187864
"2554",54,"retired","married","high.school","unknown","no","no","telephone","may","tue","nonexistent",119,10,999,0,1.1,93.994,-36.4,4.856,5191,0,-5.09403127248215
"2556",33,"blue-collar","married","basic.4y","unknown","no","no","telephone","may","tue","nonexistent",210,1,999,0,1.1,93.994,-36.4,4.856,5191,0,-4.84591494492154
"2561",39,"technician","married","professional.course","no","no","no","telephone","may","tue","nonexistent",411,2,999,0,1.1,93.994,-36.4,4.856,5191,0,-3.25669668158429
"2562",36,"management","married","university.degree","no","no","no","telephone","may","tue","nonexistent",93,1,999,0,1.1,93.994,-36.4,4.856,5191,0,-4.62083717854924
"2567",44,"blue-collar","married","unknown","no","no","yes","telephone","may","tue","nonexistent",431,1,999,0,1.1,93.994,-36.4,4.856,5191,0,-3.31705926995765
"2573",39,"blue-collar","single","unknown","unknown","no","no","telephone","may","tue","nonexistent",181,3,999,0,1.1,93.994,-36.4,4.856,5191,0,-4.83124977309672
"2583",34,"management","married","university.degree","no","yes","no","telephone","may","tue","nonexistent",230,3,999,0,1.1,93.994,-36.4,4.856,5191,0,-4.06150204594125
"2587",48,"blue-collar","married","basic.4y","no","no","no","telephone","may","tue","nonexistent",295,2,999,0,1.1,93.994,-36.4,4.856,5191,0,-4.09670404657502
"2590",47,"services","married","high.school","unknown","no","yes","telephone","may","tue","nonexistent",69,11,999,0,1.1,93.994,-36.4,4.856,5191,0,-5.79384167446003
"2593",51,"self-employed","married","professional.course","unknown","yes","yes","telephone","may","tue","nonexistent",139,4,999,0,1.1,93.994,-36.4,4.856,5191,0,-5.18407513113193
"2598",50,"services","married","high.school","unknown","yes","no","telephone","may","tue","nonexistent",175,2,999,0,1.1,93.994,-36.4,4.856,5191,0,-4.82959603073795
"2600",60,"retired","married","high.school","unknown","yes","no","telephone","may","tue","nonexistent",220,2,999,0,1.1,93.994,-36.4,4.856,5191,0,-4.25612774274169
"2604",36,"technician","married","unknown","no","yes","no","telephone","may","tue","nonexistent",322,2,999,0,1.1,93.994,-36.4,4.856,5191,0,-3.59089534468581
"2606",46,"blue-collar","married","unknown","unknown","yes","no","telephone","may","tue","nonexistent",379,2,999,0,1.1,93.994,-36.4,4.856,5191,0,-3.89606193560488
"2611",57,"blue-collar","married","basic.4y","no","yes","yes","telephone","may","tue","nonexistent",647,7,999,0,1.1,93.994,-36.4,4.856,5191,0,-2.71192089903349
"2619",33,"admin.","single","university.degree","no","yes","no","telephone","may","tue","nonexistent",76,2,999,0,1.1,93.994,-36.4,4.856,5191,0,-4.66161159591793
"2623",31,"services","single","high.school","no","no","no","telephone","may","tue","nonexistent",209,2,999,0,1.1,93.994,-36.4,4.856,5191,0,-4.28781820030077
"2624",45,"services","single","professional.course","unknown","unknown","unknown","telephone","may","tue","nonexistent",271,2,999,0,1.1,93.994,-36.4,4.856,5191,0,-4.41163921590266
"2631",42,"blue-collar","single","basic.9y","no","unknown","unknown","telephone","may","tue","nonexistent",195,5,999,0,1.1,93.994,-36.4,4.856,5191,0,-4.74544773925977
"2632",48,"technician","single","unknown","no","unknown","unknown","telephone","may","tue","nonexistent",69,19,999,0,1.1,93.994,-36.4,4.856,5191,0,-5.52216691136895
"2633",29,"admin.","married","high.school","no","no","no","telephone","may","tue","nonexistent",214,2,999,0,1.1,93.994,-36.4,4.856,5191,0,-4.25421266657802
"2642",42,"admin.","single","university.degree","no","yes","no","telephone","may","tue","nonexistent",72,4,999,0,1.1,93.994,-36.4,4.856,5191,0,-4.75223038204434
"2654",34,"blue-collar","married","basic.6y","no","no","no","telephone","may","tue","nonexistent",384,1,999,0,1.1,93.994,-36.4,4.856,5191,0,-3.57573257424318
"2657",33,"technician","single","professional.course","no","yes","yes","telephone","may","wed","nonexistent",65,6,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.97765442168271
"2658",41,"blue-collar","single","basic.9y","unknown","no","no","telephone","may","wed","nonexistent",194,4,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.92727945702936
"2659",37,"technician","married","university.degree","no","no","no","telephone","may","wed","nonexistent",360,2,999,0,1.1,93.994,-36.4,4.859,5191,0,-3.27037002140137
"2664",37,"management","married","university.degree","no","yes","no","telephone","may","wed","nonexistent",735,8,999,0,1.1,93.994,-36.4,4.859,5191,0,-1.84393667248364
"2666",40,"blue-collar","married","high.school","no","no","no","telephone","may","wed","nonexistent",158,3,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.63099363308317
"2671",40,"management","divorced","university.degree","unknown","no","no","telephone","may","wed","nonexistent",175,3,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.59483298318813
"2673",33,"admin.","single","high.school","no","unknown","unknown","telephone","may","wed","nonexistent",137,4,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.64197332007519
"2679",45,"blue-collar","divorced","basic.9y","no","yes","no","telephone","may","wed","nonexistent",455,3,999,0,1.1,93.994,-36.4,4.859,5191,0,-3.31119921978891
"2681",30,"services","married","unknown","no","no","no","telephone","may","wed","nonexistent",133,2,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.53275286055419
"2686",31,"admin.","single","university.degree","no","no","no","telephone","may","wed","nonexistent",89,2,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.5394300196158
"2687",33,"admin.","married","unknown","no","yes","no","telephone","may","wed","nonexistent",108,4,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.65361939236613
"2692",48,"admin.","married","university.degree","no","yes","yes","telephone","may","wed","nonexistent",160,1,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.24446046977454
"2693",41,"management","married","unknown","unknown","yes","no","telephone","may","wed","nonexistent",70,1,999,0,1.1,93.994,-36.4,4.859,5191,0,-5.08240548425017
"2695",36,"admin.","single","university.degree","unknown","no","no","telephone","may","wed","nonexistent",117,4,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.85931586788818
"2707",43,"blue-collar","married","unknown","unknown","no","yes","telephone","may","wed","nonexistent",73,1,999,0,1.1,93.994,-36.4,4.859,5191,0,-5.28360968206022
"2711",50,"management","divorced","high.school","unknown","no","no","telephone","may","wed","nonexistent",82,7,999,0,1.1,93.994,-36.4,4.859,5191,0,-5.35072141463665
"2712",38,"technician","single","university.degree","no","no","no","telephone","may","wed","nonexistent",451,3,999,0,1.1,93.994,-36.4,4.859,5191,0,-2.83478740616608
"2716",34,"admin.","single","high.school","no","yes","yes","telephone","may","wed","nonexistent",230,1,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.05332323380623
"2722",46,"blue-collar","married","basic.4y","unknown","no","no","telephone","may","wed","nonexistent",421,1,999,0,1.1,93.994,-36.4,4.859,5191,0,-3.76568195072031
"2723",39,"blue-collar","married","high.school","unknown","no","no","telephone","may","wed","nonexistent",278,1,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.35854521802177
"2726",33,"blue-collar","married","basic.9y","no","yes","yes","telephone","may","wed","nonexistent",110,2,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.98032419961385
"2728",44,"blue-collar","married","basic.4y","unknown","no","yes","telephone","may","wed","nonexistent",218,2,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.82304039827546
"2730",33,"unemployed","divorced","basic.9y","no","yes","no","telephone","may","wed","nonexistent",105,1,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.67636709591506
"2731",57,"blue-collar","divorced","professional.course","no","no","no","telephone","may","wed","nonexistent",106,1,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.72500065995678
"2732",31,"management","married","high.school","no","no","no","telephone","may","wed","nonexistent",217,1,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.1408946924361
"2735",37,"admin.","married","university.degree","no","no","yes","telephone","may","wed","nonexistent",243,1,999,0,1.1,93.994,-36.4,4.859,5191,0,-3.88627297300253
"2738",38,"technician","single","professional.course","unknown","unknown","unknown","telephone","may","wed","nonexistent",159,2,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.75350037848705
"2744",45,"blue-collar","married","basic.9y","unknown","no","yes","telephone","may","wed","nonexistent",145,2,999,0,1.1,93.994,-36.4,4.859,5191,0,-5.18021723013323
"2752",29,"housemaid","married","high.school","no","no","no","telephone","may","wed","nonexistent",534,1,999,0,1.1,93.994,-36.4,4.859,5191,0,-2.79689935205312
"2753",39,"unemployed","single","university.degree","no","no","yes","telephone","may","wed","nonexistent",243,1,999,0,1.1,93.994,-36.4,4.859,5191,0,-3.79676412088748
"2754",33,"services","single","basic.6y","unknown","yes","no","telephone","may","wed","nonexistent",230,1,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.428347078588
"2755",51,"services","married","high.school","unknown","yes","no","telephone","may","wed","nonexistent",127,3,999,0,1.1,93.994,-36.4,4.859,5191,0,-5.01944716177292
"2756",37,"blue-collar","married","basic.4y","unknown","yes","no","telephone","may","wed","nonexistent",1125,2,999,0,1.1,93.994,-36.4,4.859,5191,1,-0.531710657518126
"2760",34,"blue-collar","single","high.school","unknown","yes","yes","telephone","may","wed","nonexistent",257,1,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.46532815761902
"2762",40,"housemaid","divorced","basic.6y","unknown","yes","no","telephone","may","wed","nonexistent",477,5,999,0,1.1,93.994,-36.4,4.859,5191,0,-3.55825323795589
"2772",54,"blue-collar","married","basic.9y","unknown","yes","no","telephone","may","wed","nonexistent",166,1,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.94900212467508
"2773",49,"blue-collar","married","basic.6y","unknown","yes","yes","telephone","may","wed","nonexistent",220,2,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.70917635782713
"2779",48,"entrepreneur","married","university.degree","no","yes","no","telephone","may","wed","nonexistent",122,1,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.48331903949794
"2780",35,"student","married","university.degree","no","yes","no","telephone","may","wed","nonexistent",629,2,999,0,1.1,93.994,-36.4,4.859,5191,1,-1.75011491045431
"2789",29,"services","married","high.school","unknown","unknown","unknown","telephone","may","wed","nonexistent",159,1,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.90770192028842
"2790",39,"management","married","university.degree","no","yes","no","telephone","may","wed","nonexistent",68,1,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.64617626642414
"2794",52,"blue-collar","married","basic.9y","no","no","no","telephone","may","wed","nonexistent",188,1,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.48855462087352
"2795",42,"admin.","married","basic.9y","no","yes","no","telephone","may","wed","nonexistent",117,6,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.87577152438246
"2803",29,"services","divorced","high.school","no","no","no","telephone","may","wed","nonexistent",282,1,999,0,1.1,93.994,-36.4,4.859,5191,0,-3.86481221350659
"2804",30,"blue-collar","divorced","basic.9y","no","yes","no","telephone","may","wed","nonexistent",211,1,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.38627335219915
"2812",42,"blue-collar","married","basic.6y","no","yes","no","telephone","may","wed","nonexistent",347,1,999,0,1.1,93.994,-36.4,4.859,5191,0,-3.64884348548237
"2813",35,"blue-collar","married","basic.9y","no","no","yes","telephone","may","wed","nonexistent",58,1,999,0,1.1,93.994,-36.4,4.859,5191,0,-5.18681381016837
"2818",48,"admin.","divorced","high.school","no","yes","no","telephone","may","wed","nonexistent",34,1,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.91228870557837
"2820",42,"blue-collar","married","basic.6y","no","no","no","telephone","may","wed","nonexistent",28,2,999,0,1.1,93.994,-36.4,4.859,5191,0,-5.18971716894189
"2822",29,"technician","single","professional.course","no","no","no","telephone","may","wed","nonexistent",199,2,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.13241382855725
"2829",31,"blue-collar","married","basic.9y","no","no","no","telephone","may","wed","nonexistent",180,1,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.56010928829199
"2831",52,"blue-collar","married","basic.4y","unknown","yes","yes","telephone","may","wed","nonexistent",833,1,999,0,1.1,93.994,-36.4,4.859,5191,0,-1.88948721759494
"2834",56,"blue-collar","married","basic.9y","unknown","no","no","telephone","may","wed","nonexistent",247,2,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.62225384258301
"2836",29,"admin.","single","university.degree","no","yes","no","telephone","may","wed","nonexistent",849,1,999,0,1.1,93.994,-36.4,4.859,5191,0,-0.946364777971105
"2840",50,"admin.","married","high.school","unknown","no","no","telephone","may","wed","nonexistent",225,1,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.42166253812693
"2841",39,"blue-collar","married","basic.4y","unknown","yes","no","telephone","may","wed","nonexistent",829,1,999,0,1.1,93.994,-36.4,4.859,5191,0,-1.86474166111061
"2847",38,"admin.","married","university.degree","no","no","no","telephone","may","wed","nonexistent",438,4,999,0,1.1,93.994,-36.4,4.859,5191,0,-3.04115602585097
"2856",35,"services","married","high.school","no","no","no","telephone","may","wed","nonexistent",38,1,999,0,1.1,93.994,-36.4,4.859,5191,0,-5.01254283862878
"2859",24,"student","single","high.school","unknown","no","no","telephone","may","wed","nonexistent",246,1,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.00474338041182
"2860",49,"blue-collar","married","basic.9y","unknown","yes","no","telephone","may","wed","nonexistent",170,2,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.98184810590119
"2867",32,"blue-collar","married","basic.6y","unknown","yes","yes","telephone","may","wed","nonexistent",93,11,999,0,1.1,93.994,-36.4,4.859,5191,0,-5.71882623510508
"2870",41,"technician","married","basic.9y","no","yes","no","telephone","may","wed","nonexistent",210,2,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.22131103301226
"2877",28,"entrepreneur","married","basic.4y","unknown","no","no","telephone","may","wed","nonexistent",117,1,999,0,1.1,93.994,-36.4,4.859,5191,0,-5.17235282493923
"2879",56,"management","married","university.degree","no","no","no","telephone","may","wed","nonexistent",350,2,999,0,1.1,93.994,-36.4,4.859,5191,0,-3.35811110588075
"2883",56,"services","married","basic.9y","unknown","no","no","telephone","may","wed","nonexistent",44,5,999,0,1.1,93.994,-36.4,4.859,5191,0,-5.59915166999279
"2884",33,"admin.","single","university.degree","no","no","no","telephone","may","wed","nonexistent",337,1,999,0,1.1,93.994,-36.4,4.859,5191,0,-3.33693360714074
"2885",36,"admin.","divorced","high.school","no","yes","no","telephone","may","wed","nonexistent",416,2,999,0,1.1,93.994,-36.4,4.859,5191,0,-3.1947385041614
"2887",35,"unknown","married","basic.9y","no","no","yes","telephone","may","wed","nonexistent",129,2,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.95418276146987
"2903",45,"blue-collar","married","basic.4y","no","yes","no","telephone","may","wed","nonexistent",144,1,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.67577610605853
"2907",26,"blue-collar","married","basic.6y","no","no","no","telephone","may","wed","nonexistent",389,1,999,0,1.1,93.994,-36.4,4.859,5191,0,-3.48991165257323
"2911",36,"management","married","university.degree","no","yes","no","telephone","may","wed","nonexistent",8,1,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.9307253826257
"2913",40,"blue-collar","married","unknown","unknown","no","no","telephone","may","wed","nonexistent",221,1,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.53409007887087
"2918",36,"blue-collar","married","basic.9y","no","no","no","telephone","may","wed","nonexistent",179,1,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.55661125581666
"2939",37,"services","married","high.school","no","no","no","telephone","may","wed","nonexistent",74,3,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.92814828518349
"2943",45,"self-employed","single","professional.course","unknown","yes","no","telephone","may","wed","nonexistent",77,4,999,0,1.1,93.994,-36.4,4.859,5191,0,-5.28952838309966
"2952",33,"blue-collar","single","basic.9y","unknown","no","no","telephone","may","wed","nonexistent",159,3,999,0,1.1,93.994,-36.4,4.859,5191,0,-5.06013446534914
"2953",30,"technician","single","professional.course","no","yes","no","telephone","may","wed","nonexistent",343,1,999,0,1.1,93.994,-36.4,4.859,5191,0,-3.40556515685382
"2954",33,"technician","divorced","professional.course","no","no","no","telephone","may","wed","nonexistent",85,4,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.77676731428458
"2959",37,"blue-collar","married","basic.9y","no","no","no","telephone","may","wed","nonexistent",158,1,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.6528582858183
"2961",53,"self-employed","married","university.degree","no","yes","no","telephone","may","wed","nonexistent",382,10,999,0,1.1,93.994,-36.4,4.859,5191,0,-3.64441078337493
"2977",37,"blue-collar","married","basic.4y","no","yes","no","telephone","may","wed","nonexistent",191,1,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.46976828028105
"2981",48,"technician","married","university.degree","unknown","yes","no","telephone","may","wed","nonexistent",234,1,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.15753399975009
"2982",48,"services","married","high.school","no","no","no","telephone","may","wed","nonexistent",17,18,999,0,1.1,93.994,-36.4,4.859,5191,0,-5.82582926434413
"2984",32,"blue-collar","single","basic.9y","unknown","no","no","telephone","may","wed","nonexistent",554,1,999,0,1.1,93.994,-36.4,4.859,5191,0,-3.13405106338701
"2986",34,"entrepreneur","married","high.school","unknown","no","no","telephone","may","wed","nonexistent",436,1,999,0,1.1,93.994,-36.4,4.859,5191,0,-3.5906689329795
"2987",44,"blue-collar","married","basic.9y","unknown","yes","no","telephone","may","wed","nonexistent",302,2,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.37476876428671
"2989",39,"services","married","high.school","no","yes","yes","telephone","may","wed","nonexistent",174,2,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.46934960557017
"2991",43,"services","single","high.school","unknown","yes","no","telephone","may","wed","nonexistent",902,5,999,0,1.1,93.994,-36.4,4.859,5191,0,-1.45382840044784
"2996",33,"self-employed","married","basic.9y","no","yes","no","telephone","may","wed","nonexistent",21,11,999,0,1.1,93.994,-36.4,4.859,5191,0,-5.67201156863175
"3002",54,"self-employed","married","professional.course","unknown","no","no","telephone","may","wed","nonexistent",252,2,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.43638139998919
"3004",26,"student","single","high.school","no","no","no","telephone","may","wed","nonexistent",852,2,999,0,1.1,93.994,-36.4,4.859,5191,0,-0.848418887660308
"3007",28,"services","married","unknown","no","no","no","telephone","may","wed","nonexistent",98,2,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.69914779142812
"3010",49,"blue-collar","married","basic.4y","unknown","no","no","telephone","may","wed","nonexistent",154,2,999,0,1.1,93.994,-36.4,4.859,5191,0,-5.04857645845755
"3012",30,"student","single","unknown","unknown","no","no","telephone","may","wed","nonexistent",166,4,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.40932183058587
"3017",39,"blue-collar","divorced","basic.9y","no","yes","no","telephone","may","wed","nonexistent",86,2,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.99752991585408
"3021",31,"services","married","high.school","no","no","no","telephone","may","wed","nonexistent",636,6,999,0,1.1,93.994,-36.4,4.859,5191,0,-2.44850736565238
"3027",28,"blue-collar","married","basic.6y","no","yes","yes","telephone","may","wed","nonexistent",482,2,999,0,1.1,93.994,-36.4,4.859,5191,0,-3.15040051827192
"3029",47,"services","divorced","high.school","no","yes","no","telephone","may","wed","nonexistent",370,2,999,0,1.1,93.994,-36.4,4.859,5191,0,-3.45789463363409
"3032",51,"blue-collar","divorced","basic.9y","unknown","no","no","telephone","may","wed","nonexistent",256,2,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.568201988342
"3036",31,"blue-collar","married","basic.9y","no","no","yes","telephone","may","wed","nonexistent",582,2,999,0,1.1,93.994,-36.4,4.859,5191,0,-2.79436209328478
"3037",38,"self-employed","single","university.degree","no","no","yes","telephone","may","wed","nonexistent",270,2,999,0,1.1,93.994,-36.4,4.859,5191,0,-3.86644247571861
"3041",29,"technician","married","university.degree","no","yes","no","telephone","may","wed","nonexistent",1118,2,999,0,1.1,93.994,-36.4,4.859,5191,0,0.260252077412581
"3042",38,"blue-collar","married","basic.4y","unknown","no","no","telephone","may","wed","nonexistent",76,9,999,0,1.1,93.994,-36.4,4.859,5191,0,-5.73339044488305
"3043",46,"admin.","married","high.school","no","yes","no","telephone","may","wed","nonexistent",79,3,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.8127359498659
"3047",34,"technician","married","professional.course","unknown","no","yes","telephone","may","wed","nonexistent",187,4,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.75647780224742
"3048",36,"technician","married","professional.course","no","no","no","telephone","may","wed","nonexistent",1423,3,999,0,1.1,93.994,-36.4,4.859,5191,1,1.48747478915555
"3049",51,"blue-collar","married","basic.6y","unknown","yes","no","telephone","may","wed","nonexistent",271,2,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.4036047367626
"3053",42,"blue-collar","married","basic.4y","unknown","no","yes","telephone","may","wed","nonexistent",367,3,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.17516110453949
"3054",46,"blue-collar","married","basic.9y","unknown","no","yes","telephone","may","wed","nonexistent",227,4,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.88305324705087
"3055",46,"admin.","divorced","university.degree","no","yes","no","telephone","may","wed","nonexistent",276,4,999,0,1.1,93.994,-36.4,4.859,5191,0,-3.75218694371453
"3059",43,"technician","divorced","basic.9y","no","no","yes","telephone","may","wed","nonexistent",143,3,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.62871499235303
"3060",30,"services","married","high.school","no","yes","no","telephone","may","wed","nonexistent",249,2,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.06986612346922
"3065",39,"services","single","high.school","unknown","no","no","telephone","may","wed","nonexistent",364,3,999,0,1.1,93.994,-36.4,4.859,5191,0,-3.89197353736149
"3066",29,"unemployed","single","university.degree","no","no","yes","telephone","may","wed","nonexistent",211,2,999,0,1.1,93.994,-36.4,4.859,5191,0,-4.00556128604939
"3070",41,"self-employed","single","university.degree","no","yes","no","telephone","may","wed","nonexistent",318,2,999,0,1.1,93.994,-36.4,4.859,5191,0,-3.56250452951412
"3072",43,"technician","married","professional.course","no","yes","no","telephone","may","wed","nonexistent",747,3,999,0,1.1,93.994,-36.4,4.859,5191,0,-1.6411511697381
"3073",51,"services","divorced","basic.4y","unknown","yes","no","telephone","may","thu","nonexistent",95,4,999,0,1.1,93.994,-36.4,4.86,5191,0,-5.37572101881723
"3081",30,"services","married","high.school","no","no","no","telephone","may","thu","nonexistent",86,4,999,0,1.1,93.994,-36.4,4.86,5191,0,-5.02596057908904
"3085",35,"blue-collar","married","unknown","no","yes","no","telephone","may","thu","nonexistent",76,7,999,0,1.1,93.994,-36.4,4.86,5191,0,-5.19444683632314
"3086",45,"blue-collar","married","basic.9y","unknown","no","no","telephone","may","thu","nonexistent",90,3,999,0,1.1,93.994,-36.4,4.86,5191,0,-5.51428470079289
"3090",31,"admin.","married","high.school","no","no","yes","telephone","may","thu","nonexistent",349,2,999,0,1.1,93.994,-36.4,4.86,5191,0,-3.70974967348464
"3099",37,"services","married","professional.course","unknown","no","no","telephone","may","thu","nonexistent",125,4,999,0,1.1,93.994,-36.4,4.86,5191,0,-5.1909565113689
"3100",48,"technician","married","university.degree","no","no","no","telephone","may","thu","nonexistent",360,1,999,0,1.1,93.994,-36.4,4.86,5191,0,-3.30807965125921
"3107",37,"self-employed","married","basic.9y","no","yes","no","telephone","may","thu","nonexistent",65,1,999,0,1.1,93.994,-36.4,4.86,5191,0,-5.12608854461293
"3112",42,"technician","divorced","basic.9y","no","no","no","telephone","may","thu","nonexistent",263,1,999,0,1.1,93.994,-36.4,4.86,5191,0,-4.01876554113549
"3124",32,"housemaid","married","basic.4y","no","no","no","telephone","may","thu","nonexistent",244,1,999,0,1.1,93.994,-36.4,4.86,5191,0,-4.32772109838488
"3130",40,"admin.","divorced","professional.course","no","yes","no","telephone","may","thu","nonexistent",27,1,999,0,1.1,93.994,-36.4,4.86,5191,0,-5.04326395683749
"3132",45,"housemaid","married","basic.6y","unknown","no","no","telephone","may","thu","nonexistent",203,1,999,0,1.1,93.994,-36.4,4.86,5191,0,-4.78382711808716
"3134",40,"services","married","high.school","no","no","no","telephone","may","thu","nonexistent",153,1,999,0,1.1,93.994,-36.4,4.86,5191,0,-4.56737078102343
"3149",33,"admin.","married","university.degree","no","no","no","telephone","may","thu","nonexistent",463,1,999,0,1.1,93.994,-36.4,4.86,5191,0,-2.90179055373368
"3160",44,"blue-collar","married","basic.4y","unknown","no","no","telephone","may","thu","nonexistent",139,2,999,0,1.1,93.994,-36.4,4.86,5191,0,-5.22563873587806
"3165",46,"admin.","single","high.school","no","unknown","unknown","telephone","may","thu","nonexistent",257,1,999,0,1.1,93.994,-36.4,4.86,5191,0,-4.03045058688447
"3169",45,"management","married","unknown","unknown","no","no","telephone","may","thu","nonexistent",178,1,999,0,1.1,93.994,-36.4,4.86,5191,0,-4.68220871163898
"3170",55,"unknown","married","unknown","unknown","yes","no","telephone","may","thu","nonexistent",285,2,999,0,1.1,93.994,-36.4,4.86,5191,0,-4.39788119846249
"3172",38,"blue-collar","divorced","unknown","no","yes","no","telephone","may","thu","nonexistent",451,2,999,0,1.1,93.994,-36.4,4.86,5191,0,-3.20479958234669
"3174",53,"retired","divorced","basic.4y","no","no","no","telephone","may","thu","nonexistent",116,1,999,0,1.1,93.994,-36.4,4.86,5191,0,-4.43600524638039
"3183",48,"self-employed","married","university.degree","unknown","yes","no","telephone","may","thu","nonexistent",750,2,999,0,1.1,93.994,-36.4,4.86,5191,0,-2.06159339563474
"3185",49,"technician","married","high.school","no","yes","no","telephone","may","thu","nonexistent",435,1,999,0,1.1,93.994,-36.4,4.86,5191,0,-3.11158385415463
